GeneWeaver ID	Entrez	Ensembl Gene	Ensembl Protein	Ensembl Transcript	Unigene	Unannotated	MGI	HGNC	RGD	ZFIN	FlyBase	Wormbase	SGD	miRBase	CGNC
73884	2898	ENSG00000164418	-	-	Hs.570869|Hs.587982|Hs.453711|Hs.420694|Hs.355656|Hs.654523|Hs.278282|Hs.161554|Hs.322417|Hs.267094|Hs.25739|Hs.301676|Hs.25615|Hs.256309|Hs.249142|Hs.307494|Hs.306651|Hs.486040|Hs.406826|Hs.98262	-	-	HGNC:4580	-	-	-	-	-	-	-
73922	23086	ENSG00000110723	-	-	Hs.432778|Hs.26753|Hs.417439|Hs.138380|Hs.269591|Hs.530785|Hs.321583|Hs.140251|Hs.28540	-	-	HGNC:30578	-	-	-	-	-	-	-
73993	26053	ENSG00000158321	-	-	Hs.654801|Hs.11635|Hs.352387|Hs.90726|Hs.696023|Hs.301673|Hs.632014|Hs.127479|Hs.510920|Hs.65593|Hs.296720|Hs.120231|Hs.520930|Hs.700600|Hs.21631|Hs.510913|Hs.488563|Hs.488524|Hs.167236|Hs.150300|Hs.726983|Hs.32168|Hs.520927|Hs.320992	-	-	HGNC:14262	-	-	-	-	-	-	-
74184	7525	ENSG00000176105	-	-	Hs.592346|Hs.446321|Hs.158707|Hs.155457|Hs.75680|Hs.568374|Hs.644623|Hs.700|Hs.549413|Hs.194148|Hs.449854|Hs.585327|Hs.29145|Hs.154745|Hs.595353|Hs.62112|Hs.111394|Hs.632359|Hs.709020|Hs.639171|Hs.650586|Hs.3734|Hs.69742	-	-	HGNC:12841	-	-	-	-	-	-	-
74278	3012	ENSG00000277075	-	-	Hs.46339|Hs.121017	-	-	HGNC:4724	-	-	-	-	-	-	-
74493	26994	ENSG00000123091	-	-	Hs.148106|Hs.696036|Hs.10768|Hs.587039|Hs.101992|Hs.96334|Hs.36525|Hs.309641|Hs.713561|Hs.708026|Hs.185008|Hs.77652|Hs.19486|Hs.79850	-	-	HGNC:10056	-	-	-	-	-	-	-
74550	23066	ENSG00000144712	-	-	Hs.337326|Hs.154740|Hs.343664|Hs.235374|Hs.288327|Hs.119925|Hs.414495|Hs.565989	-	-	HGNC:30689	-	-	-	-	-	-	-
74563	1268	ENSG00000118432	-	-	Hs.385517|Hs.75110|Hs.278974|Hs.6219|Hs.561630|Hs.2498|Hs.571082|Hs.2297|Hs.709067|Hs.728060|Hs.706619|Hs.164487|Hs.528230|Hs.690472	-	-	HGNC:2159	-	-	-	-	-	-	-
74653	4016	ENSG00000129038	-	-	Hs.411926|Hs.97869|Hs.413335|Hs.546838|Hs.7671|Hs.94661|Hs.123759|Hs.78621|Hs.110457|Hs.75309|Hs.416631|Hs.412544|Hs.1150|Hs.150576|Hs.123741|Hs.65436|Hs.96355|Hs.236258|Hs.133986|Hs.414457|Hs.422192	-	-	HGNC:6665	-	-	-	-	-	-	-
75017	51232	ENSG00000277354|ENSG00000150938	-	-	Hs.556947|Hs.699247|Hs.79638|Hs.416546|Hs.78043|Hs.38806|Hs.278364|Hs.3795|Hs.18505|Hs.74604|Hs.709767|Hs.537539|Hs.142936|Hs.93878|Hs.332847|Hs.57373|Hs.350577|Hs.81442|Hs.170752|Hs.8898|Hs.214770|Hs.416997|Hs.101521|Hs.19280	-	-	HGNC:2359	-	-	-	-	-	-	-
75100	10529	ENSG00000204683|ENSG00000078114	-	-	Hs.5025|Hs.41190|Hs.172974|Hs.204826|Hs.132500|Hs.372168|Hs.250840|Hs.220879|Hs.433730|Hs.278999|Hs.885|Hs.166449|Hs.245417|Hs.266967|Hs.409394|Hs.29523|Hs.106951|Hs.152825|Hs.438935|Hs.175574|Hs.364897|Hs.522304|Hs.153241|Hs.226371|Hs.10977	-	-	HGNC:16932	-	-	-	-	-	-	-
75106	56998	ENSG00000178585	-	-	Hs.87300|Hs.24466|Hs.76619|Hs.463759|Hs.205221|Hs.29755|Hs.63811|Hs.111282|Hs.154961|Hs.111836|Hs.99816|Hs.557705|Hs.76066|Hs.547892|Hs.65567|Hs.537007|Hs.8901|Hs.11562|Hs.183129|Hs.572038|Hs.168139|Hs.267116|Hs.281049|Hs.56543|Hs.552668|Hs.226689|Hs.76648|Hs.241695|Hs.221740|Hs.52767|Hs.381727|Hs.573770|Hs.11591|Hs.108222	-	-	HGNC:16913	-	-	-	-	-	-	-
75297	51196	ENSG00000138193	-	-	Hs.279020|Hs.246438|Hs.428162|Hs.148650|Hs.6733|Hs.259860|Hs.549158|Hs.375726|Hs.107322|Hs.404434|Hs.103417|Hs.167678|Hs.655033|Hs.265486|Hs.20022	-	-	HGNC:17175	-	-	-	-	-	-	-
75644	563	ENSG00000160862	-	-	Hs.546239|Hs.417709|Hs.552086|Hs.124821|Hs.204485|Hs.382827|Hs.430349|Hs.12670|Hs.426219|Hs.647524|Hs.14645|Hs.71|Hs.547383|Hs.697802|Hs.76846|Hs.703613|Hs.76418	-	-	HGNC:910	-	-	-	-	-	-	-
75665	8536	ENSG00000134072	-	-	Hs.242920|Hs.106504|Hs.118414|Hs.48405|Hs.376412|Hs.78627|Hs.380271|Hs.363011|Hs.184402|Hs.2390|Hs.70527|Hs.439527|Hs.512804|Hs.124925|Hs.440785|Hs.26182|Hs.434875	-	-	HGNC:1459	-	-	-	-	-	-	-
